FID_1,NAME,GSS_CODE,BOROUGH,...5,Count_,Avg_price,Avg_number_of_,Avg_reviews_pe,Avg_availabili,Avg_number_of1,GSS_CODE...12,IMD Score,Income Score (rate),Employment Score (rate),Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Count,count,average_price,
603,Wall End,E05000493,Newham,NA,39,68.777778,4.222222,0.304444,128.888889,1.333333,E05000324,24.281,0.1495,0.092,-0.11325,0.72125,33.28075,22.271875,9,38,71.95,
25,Broad Green,E05000149,Croydon,NA,95,297.057971,16.894928,0.639457,123.195652,5.036232,E05000391,14.7855,0.071667,0.0485,-1.836833,0.2245,35.599833,34.929833,276,95,71.24, 
73,Feltham North,E05000351,Hounslow,NA,25,197.317073,16.243902,0.475772,96.357724,3.569106,E05000528,8.321,0.058286,0.043286,-1.641429,0.002,16.711857,28.151143,123,25,71.16,
27,Bensham Manor,E05000148,Croydon,NA,69,287.213953,20.094186,1.061023,137.061628,7.925581,E05000636,18.40925,0.09,0.057625,-1.023875,0.497375,25.987625,49.841,860,69,70.99,
382,The Wrythe,E05000568,Sutton,NA,16,105.6875,10.75,1.1475,133,8.3125,E05000037,32.603333,0.1935,0.129667,0.166667,0.211667,44.807,30.8445,16,17,70.71,
16,Coulsdon East,E05000150,Croydon,NA,13,357.28754,12.921725,0.643994,125.78754,4.463259,E05000641,10.680833,0.044,0.025333,-1.920333,-0.422,21.136833,51.658333,626,13,70.54,
122,Hylands,E05000315,Havering,NA,13,167.07619,17.8,0.72581,118.390476,5.514286,E05000525,9.685429,0.072286,0.052714,-1.374429,0.052286,15.601571,26.389429,105,13,70.23,
93,Lady Margaret,E05000181,Ealing,NA,19,183.014493,18.833333,0.606377,90.623188,5.021739,E05000618,12.722667,0.078222,0.054333,-0.381556,0.138889,23.450778,29.268667,138,19,70.21, 
601,Green Street East,E05000485,Newham,NA,35,70.210526,10.105263,0.39,199.210526,2.263158,E05000181,20.455375,0.131875,0.09175,-0.15375,0.0645,31.933,24.901,19,36,69.86,
131,Ickenham,E05000333,Hillingdon,NA,18,160.539474,22.864035,1.118553,129.245614,8.258772,E05000140,29.176571,0.224571,0.135429,0.050286,0.669571,23.821143,32.051,228,17,69.65,
33,Selhurst,E05000161,Croydon,NA,92,265.298876,17.550562,0.875787,121.047191,6.679775,E05000632,13.362714,0.063857,0.045429,-1.421286,0.209857,23.266143,45.090143,890,92,69.25, 
612,Longbridge,E05000035,Barking and Dagenham,NA,27,64.578947,8.684211,0.744737,212.052632,3.421053,E05000115,27.775091,0.184818,0.125818,-0.177636,0.632455,30.816818,17.934182,19,27,68.26,
296,East Wickham,E05000074,Bexley,NA,20,116.72973,7.054054,0.527297,234.027027,3.027027,E05000077,18.074857,0.121714,0.081143,-0.494,0.073857,30.192286,17.048571,37,20,66.8,
380,Sutton North,E05000565,Sutton,NA,29,105.924528,10.962264,0.882264,124.283019,6.377358,E05000044,27.8667,0.186,0.1125,-0.3916,0.4958,40.8181,25.6673,53,29,66.24,
150,Headstone North,E05000292,Harrow,NA,24,153.514706,21.279412,0.754265,101.823529,5.286765,E05000272,15.218429,0.075429,0.061857,-0.670286,0.284714,30.101571,35.895,136,24,65.88,
353,Aldborough,E05000495,Redbridge,NA,38,109.392683,18.77561,0.602805,80.729268,4.931707,E05000573,31.788,0.20625,0.11475,0.52175,0.92,28.932625,40.242,410,37,65.62,
8,Old Malden,E05000410,Kingston upon Thames,NA,18,473.026316,11.47807,0.632193,190.096491,3.539474,E05000347,26.440444,0.163556,0.095667,-0.039,0.705,34.305667,38.287889,228,18,65.56,
84,Northolt West End,E05000185,Ealing,NA,28,189.609959,24.738589,0.917676,113.763485,8.016598,E05000144,13.18225,0.098875,0.061,-1.037375,0.09325,22.383125,27.253375,241,28,65.14,
60,Cray Valley West,E05000115,Bromley,NA,19,214.246479,23.461268,0.846197,113.214789,6.859155,E05000648,31.070667,0.231111,0.154667,0.052889,0.442667,25.095556,35.883778,284,19,64.58, 
140,Charville,E05000328,Hillingdon,NA,15,156.338983,27.661017,0.898644,99.305085,8.813559,E05000529,5.557167,0.040167,0.035167,-1.434667,-0.394,12.995,26.513333,59,15,63.53,
596,Plaistow North,E05000489,Newham,NA,50,70.985507,17.927536,0.647971,194.536232,5.115942,E05000148,25.246727,0.155818,0.098909,-0.073545,0.533091,34.515273,33.344364,69,50,63.34,
155,Rayners Lane,E05000300,Harrow,NA,18,152.406452,10.309677,0.749097,149.580645,4.774194,E05000055,15.9459,0.1009,0.0663,-1.1382,0.0548,34.9709,29.9327,155,18,59.67,
144,Cavendish,E05000327,Hillingdon,NA,14,154.976744,9.139535,0.456279,127.751938,3.713178,E05000455,11.7745,0.086333,0.050833,-0.586667,-0.2415,17.879333,33.4365,129,14,59.36,
343,Larkswood,E05000602,Waltham Forest,NA,34,110.85,23.67,0.8546,133.61,6.45,E05000176,23.011125,0.14975,0.10675,-0.1315,0.188625,31.69625,32.682625,100,34,57.56,
22,Sanderstead,E05000160,Croydon,NA,10,313.428571,8.142857,0.378254,149.142857,2.68254,E05000516,9.614857,0.067571,0.047,-1.521857,-0.137286,15.956143,28.942857,63,10,53.2,
600,Green Street West,E05000486,Newham,NA,57,70.230769,16.307692,0.862308,244.307692,6.384615,E05000315,11.356,0.065125,0.054625,-0.808,-0.066875,22.7575,15.921,13,56,51.96,
385,Beddington North,E05000555,Sutton,NA,20,105.183099,26.84507,0.828204,84.408451,6.704225,E05000420,36.1698,0.2352,0.1419,0.4175,0.9249,33.4032,42.4672,284,20,50.45,
614,Goresbrook,E05000033,Barking and Dagenham,NA,13,63.34,11.36,0.5898,128.04,4.54,E05000489,30.407111,0.193667,0.107778,0.111,0.182778,49.215444,28.124778,50,13,48.31,
357,Clementswood,E05000501,Redbridge,NA,27,108.920354,18.185841,0.714425,119.938053,5.017699,E05000615,18.033889,0.129667,0.078111,-0.514333,-0.008667,27.698111,32.692111,113,27,44.52,
29,New Addington,E05000157,Croydon,NA,6,279.771429,16.689796,0.715388,130.853061,5.453061,E05000399,13.9374,0.0644,0.0372,-1.6696,0.1692,30.8358,43.9746,245,6,41.67,
